"rowNumber","productName","productCode","error"
2,"Multicolor Hair Pins for Girls & Women","FU260001-1","Image folder not found for productCode FU260001-1. Tried: FU260001-1, FU260001-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
3,"Silver Rhinestone Double Hoop Drop Earrings with Sparkling Crystal Design","FU260002-1","Image folder not found for productCode FU260002-1. Tried: FU260002-1, FU260002-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
4,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","FU260003-1","Image folder not found for productCode FU260003-1. Tried: FU260003-1, FU260003-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
5,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","FU260003-2","Image folder not found for productCode FU260003-2. Tried: FU260003-2, FU260003-02. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
6,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","FU260003-3","Image folder not found for productCode FU260003-3. Tried: FU260003-3, FU260003-03. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
7,"Gold Tone Round Crystal Stud Earrings for Women","FU260004-1","Image folder not found for productCode FU260004-1. Tried: FU260004-1, FU260004-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
8,"Silver Square Crystal Stud Earrings for Women","FU260005-1","Image folder not found for productCode FU260005-1. Tried: FU260005-1, FU260005-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
9,"Pink Butterfly Stud Earrings for Girls & Women","FU260006-1","Image folder not found for productCode FU260006-1. Tried: FU260006-1, FU260006-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
10,"Pink Floral Crystal Drop Earrings for Women","FU260007-1","Image folder not found for productCode FU260007-1. Tried: FU260007-1, FU260007-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
11,"Black Oval Crystal Drop Earrings for Women with  Loop Detailing","FU260008-1","Image folder not found for productCode FU260008-1. Tried: FU260008-1, FU260008-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
12,"Iridescent Round Pearl Stud Earrings for Elegant Shimmering Finish","FU260009-1","Image folder not found for productCode FU260009-1. Tried: FU260009-1, FU260009-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
13,"White Rounded Square Stud Earrings for Women with Silver Tone","FU260010-1","Image folder not found for productCode FU260010-1. Tried: FU260010-1, FU260010-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
14,"Silver Round Crystal Stud Earrings for Women","FU260011-1","Image folder not found for productCode FU260011-1. Tried: FU260011-1, FU260011-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
15,"Silver Rectangular Stud Earrings for Women","FU260012-1","Image folder not found for productCode FU260012-1. Tried: FU260012-1, FU260012-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
16,"Multicolor Triangle Crystal Stud Earrings for Women","FU260013-1","Image folder not found for productCode FU260013-1. Tried: FU260013-1, FU260013-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
17,"Gold Tone Oval Rhinestone Drop Earrings for Women","FU260014-1","Image folder not found for productCode FU260014-1. Tried: FU260014-1, FU260014-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
18,"Red and Clear Crystal Drop Earrings for Women","FU260015-1","Image folder not found for productCode FU260015-1. Tried: FU260015-1, FU260015-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
19,"Multicolor Floral Crystal Stud Earrings for Women","FU260016-1","Image folder not found for productCode FU260016-1. Tried: FU260016-1, FU260016-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
20,"Silver Crystal Drop Earrings with Multicolor Leaf Shaped Gemstone","FU260017-1","Image folder not found for productCode FU260017-1. Tried: FU260017-1, FU260017-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
21,"Multicolor Floral Crystal Stud Earrings for Women","FU260018-1","Image folder not found for productCode FU260018-1. Tried: FU260018-1, FU260018-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
22,"Silver and Black Cluster Crystal Stud Earrings for Women","FU260019-1","Image folder not found for productCode FU260019-1. Tried: FU260019-1, FU260019-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
23,"Black and Silver Double Loop Crystal Stud Earrings for Women","FU260020-1","Image folder not found for productCode FU260020-1. Tried: FU260020-1, FU260020-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
24,"Silver Bow Shape Crystal Stud Earrings for Women","FU260021-1","Image folder not found for productCode FU260021-1. Tried: FU260021-1, FU260021-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
25,"Silver Star Shape Rhinestone Stud Earrings for Women","FU260022-1","Image folder not found for productCode FU260022-1. Tried: FU260022-1, FU260022-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
26,"Gold Tone Crystal Bow Stud Earrings for Women","FU260023-1","Image folder not found for productCode FU260023-1. Tried: FU260023-1, FU260023-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
27,"Multicolor Round Beaded Stud Earrings for Women","FU260024-1","Image folder not found for productCode FU260024-1. Tried: FU260024-1, FU260024-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
28,"Multicolor Pastel Bead Drop Earrings for Women","FU260025-1","Image folder not found for productCode FU260025-1. Tried: FU260025-1, FU260025-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
29,"Silver V Shape Crystal Drop Earrings for Women","FU260026-1","Image folder not found for productCode FU260026-1. Tried: FU260026-1, FU260026-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
30,"Gold Tone Floral Cluster Stud Earrings for Women","FU260027-1","Image folder not found for productCode FU260027-1. Tried: FU260027-1, FU260027-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
31,"Beige Floral Crystal Stud Earrings for Women","FU260028-1","Image folder not found for productCode FU260028-1. Tried: FU260028-1, FU260028-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
32,"Multicolor Star Shape Crystal Stud Earrings for Women","FU260029-1","Image folder not found for productCode FU260029-1. Tried: FU260029-1, FU260029-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
33,"Gold Tone Crystal Bow Drop Earrings for Women","FU260030-1","Image folder not found for productCode FU260030-1. Tried: FU260030-1, FU260030-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
34,"Silver Floral Crystal Drop Earrings for Women","FU260031-1","Image folder not found for productCode FU260031-1. Tried: FU260031-1, FU260031-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
35,"Multicolor Floral Crystal Stud Earrings for Women","FU260032-1","Image folder not found for productCode FU260032-1. Tried: FU260032-1, FU260032-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
36,"Multicolor Green Beaded Floral Stud Earrings for Women","FU260033-1","Image folder not found for productCode FU260033-1. Tried: FU260033-1, FU260033-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
37,"Red and Gold Tone Crystal Stud Earrings for Women","FU260034-1","Image folder not found for productCode FU260034-1. Tried: FU260034-1, FU260034-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
38,"Gold Tone Heart Shape Crystal Drop Earrings for Women","FU260035-1","Image folder not found for productCode FU260035-1. Tried: FU260035-1, FU260035-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
